sentence;style;id
<x_nom> setzt Prioritäten für <x_poss_FEMININE_acc> Arbeit.;<normal_pron>;36
<x_nom> bittet um Unterstützung bei <x_poss_pl_dat> Aufgaben.;<normal_pron>;37
<x_nom> geht gerne zur Arbeit.;<normal>;1
<x_nom> arbeitet gern im Team.;<normal>;2
<x_nom> freut sich über eine Gehaltserhöhung.;<normal>;3
<x_nom> ist stolz auf sich und die erbrachte Leistung.;<normal>;4
<x_nom> ärgert sich über einen gemachten Fehler.;<normal>;5
<x_nom> ist noch unentschlossen.;<normal>;6
<x_nom> bittet jemanden um Hilfe.;<normal>;7
<x_nom> braucht mehr Zeit und teilt es dem Team mit.;<normal>;8
Es wird betont, dass die Entscheidung von <x_dat> final ist.;<normal>;9
<x_nom> ist überfordert.;<normal>;10
<x_nom> hat schlechte Laune wegen des Stresses.;<normal>;11
<x_nom> isst Abendbrot um den Hunger zu stillen.;<normal>;12
<x_nom> hört gern Musik zum Entspannen.;<normal>;13
<x_nom> liest gerne verschiedene Bücher.;<normal>;14
<x_nom> geht gerne mit dem Hund spazieren.;<normal>;15
<x_nom> reflektiert wöchentlich über die eigene Leistung.;<normal>;16
<x_nom> berichtet über Fortschritte.;<normal>;17
<x_nom> genießt Kaffee am Morgen.;<normal>;18
<x_nom> sortiert Papiere ordentlich.;<normal>;19
<x_nom> ruht sich für etwas Erholung aus.;<normal>;20
<x_nom> analysiert die Projekte sorgfältig.;<normal>;21
<x_nom> plant den Urlaub mit Hingabe.;<normal>;22
<x_nom> bringt das Fahrrad zur Reparatur.;<normal>;23
<x_nom> feiert fröhlich (den eigenen) Geburtstag.;<normal>;24
<x_nom> gießt Blumen jeden Tag.;<normal>;25
<x_nom> schreibt Briefe handschriftlich.;<normal>;26
<x_nom> übt Klavier regelmäßig.;<normal>;27
<x_nom> malt Bilder in der Freizeit.;<normal>;28
<x_nom> koordiniert Termine gut.;<normal>;29
<x_nom> nimmt an der Besprechung teil.;<normal>;30
<x_nom> überprüft gründlich die Ergebnisse.;<normal>;31
<x_nom> verbessert ständig die eigenen Fähigkeiten.;<normal>;32
<x_nom> dokumentiert Tätigkeiten exakt.;<normal>;33
<x_nom> motiviert andere Mitarbeitende täglich.;<normal>;34
<x_nom> kommuniziert klar im Team.;<normal>;35
<x_nom> setzt Prioritäten für die Arbeit.;<normal>;36
<x_nom> bittet um Unterstützung bei Aufgaben.;<normal>;37
<x_nom> küsst <x_poss_acc> <y_indef_acc>.;<romantic>;38
<x_nom> liebt <x_poss_acc> <y_indef_acc>.;<romantic>;39
<x_nom> schreibt <x_poss_dat> <y_indef_dat> einen Liebesbrief.;<romantic>;40
<x_nom> presst <x_poss_acc> <y_indef_acc> an sich.;<romantic>;41
<x_nom> zieht <x_poss_acc> <y_indef_acc> nah zu sich und sie küssen sich leidenschaftlich.;<romantic>;42
<x_nom> flüstert <x_poss_dat> <y_indef_dat> ein Kompliment zu.;<romantic>;43
<name> ist <x_indef_nom>.;<name>;44
<name> wurde kürzlich <x_indef_nom>.;<name>;45
<name> arbeitet als <x_indef_nom>.;<name>;46
Zurzeit arbeitet <name> als <x_indef_nom>.;<name>;47
Seit Jahren arbeitet <name> als <x_indef_nom>.;<name>;48
